Geneid	Chr	Start	End	Strand	Length	R16	R17	R18	R19	R20	R21	R22	R23	R24	R25	R26	R27	R28	R29	R30
ispH	U00096.3	26277	27227	+	951	303	590	406	541	321	1276	728	1090	1091	1021	168	118	176	105	196
rihC	U00096.3	27293	28207	+	915	100	110	111	85	63	55	41	58	45	52	45	56	82	57	37
dapB	U00096.3	28374	29195	+	822	129	174	152	183	126	289	167	211	197	256	88	93	116	83	87
carA	U00096.3	29651	30799	+	1149	2022	2701	2558	1662	1723	4967	2908	1424	1503	702	59	1948	3793	966	544
carB	U00096.3	30817	34038	+	3222	1854	3087	2720	1987	2165	9203	4673	2900	2451	2441	122	2622	4578	1283	896
caiF	U00096.3	34300	34695	+	396	161	263	308	201	193	171	102	84	73	92	46	120	101	75	65
caiE	U00096.3	34781	35371	-	591	87	80	74	92	46	63	58	62	31	69	53	26	45	31	34
caiD	U00096.3	35377	36162	-	786	53	56	42	33	26	32	24	24	12	40	27	8	16	24	21
caiC	U00096.3	36271	37824	-	1554	279	367	261	266	173	180	104	144	128	213	91	55	88	87	76
caiB	U00096.3	37898	39115	-	1218	336	459	362	356	204	202	148	194	161	191	111	72	109	90	117
caiA	U00096.3	39244	40386	-	1143	136	245	173	175	114	185	117	184	130	233	150	63	129	108	116
caiT	U00096.3	40417	41931	-	1515	115	102	102	62	55	25	43	40	28	82	58	26	32	67	48
fixA	U00096.3	42403	43173	+	771	126	185	160	133	91	76	73	90	59	218	148	42	90	88	81
fixB	U00096.3	43188	44129	+	942	92	131	124	101	83	85	70	103	66	250	150	39	84	55	93
fixC	U00096.3	44180	45466	+	1287	139	215	154	178	85	134	73	142	63	246	208	44	121	72	111
fixX	U00096.3	45463	45750	+	288	47	61	34	54	21	30	14	27	10	82	52	15	29	18	19
yaaU	U00096.3	45807	47138	+	1332	81	117	62	83	55	61	45	55	34	110	77	28	51	48	58
kefF	U00096.3	47246	47776	+	531	34	34	24	12	14	16	13	8	14	23	1	7	8	10	11
kefC	U00096.3	47769	49631	+	1863	106	74	67	54	54	52	45	36	44	62	14	22	36	33	32
folA	U00096.3	49823	50302	+	480	71	88	62	79	41	166	97	116	135	112	52	55	78	39	50
apaH	U00096.3	50380	51222	-	843	232	322	237	259	171	389	263	300	315	223	84	91	107	71	84
apaG	U00096.3	51229	51606	-	378	294	464	334	364	234	629	420	497	454	417	152	163	161	118	183
rsmA	U00096.3	51609	52430	-	822	345	589	410	451	307	851	582	609	690	538	174	249	296	230	249
pdxA	U00096.3	52427	53416	-	990	234	376	279	353	181	647	424	452	494	340	128	191	233	169	172
surA	U00096.3	53416	54702	-	1287	483	840	603	710	456	1137	689	856	890	922	369	352	551	327	358
lptD	U00096.3	54755	57109	-	2355	1282	2015	1481	1721	1000	2121	1503	1922	1784	1573	573	768	985	558	650
djlA	U00096.3	57364	58179	+	816	98	178	136	131	88	153	129	117	125	102	44	74	72	64	50
yabP	U00096.3	58474	59124	+	651	148	225	169	160	120	112	78	63	71	51	12	34	31	45	33
yabQ	U00096.3	59121	59279	+	159	194	298	298	218	172	109	83	82	67	81	27	61	52	66	44
rluA	U00096.3	59687	60346	-	660	83	88	70	66	58	134	98	120	113	163	25	18	22	27	30
rapA	U00096.3	60358	63264	-	2907	205	246	179	196	144	343	271	288	312	327	100	56	82	60	66
polB	U00096.3	63429	65780	-	2352	165	202	138	124	113	276	211	210	217	201	58	73	80	63	88
araD	U00096.3	65855	66550	-	696	37	63	39	48	34	31	29	21	25	31	6	10	7	9	10
araA	U00096.3	66835	68337	-	1503	92	101	67	88	32	44	66	44	39	57	14	13	19	21	15
araB	U00096.3	68348	70048	-	1701	115	93	64	85	58	32	95	21	22	35	4	23	23	15	12
araC	U00096.3	70387	71265	+	879	57	58	30	46	32	38	52	56	43	76	23	12	25	22	17
yabI	U00096.3	71351	72115	+	765	96	120	93	92	63	84	78	87	91	136	46	59	65	61	52
thiQ	U00096.3	72229	72927	-	699	51	51	40	29	17	49	33	26	28	34	15	24	16	16	17
thiP	U00096.3	72911	74521	-	1611	87	59	30	27	33	31	17	32	22	17	9	18	13	6	11
thiB	U00096.3	74497	75480	-	984	56	43	40	32	26	50	46	34	36	47	17	27	36	19	21
sgrR	U00096.3	75644	77299	-	1656	102	77	72	74	54	106	70	94	84	84	39	42	56	43	35
sgrS	U00096.3	77367	77593	+	227	539	1759	1111	1741	713	27784	20093	21004	13971	23978	4820	6800	13665	9308	8271
sgrT	U00096.3	77388	77519	+	132	525	1753	1108	1737	706	27770	20073	20992	13966	23963	4818	6799	13665	9305	8268
setA	U00096.3	77621	78799	+	1179	336	338	255	274	152	199	349	210	157	212	51	71	57	91	55
leuD	U00096.3	78848	79453	-	606	147	247	166	298	138	310	298	282	279	381	94	50	90	65	55
leuC	U00096.3	79464	80864	-	1401	345	568	338	656	284	559	403	489	443	452	197	131	159	142	81
leuB	U00096.3	80867	81958	-	1092	354	553	331	655	286	351	250	347	328	383	140	114	140	136	70
leuA	U00096.3	81958	83529	-	1572	466	716	434	928	352	322	249	324	331	438	179	127	147	144	69
leuL	U00096.3	83622	83708	-	87	11	10	12	16	6	19	9	34	18	32	17	3	3	10	5
leuO	U00096.3	84368	85312	+	945	73	76	50	52	30	41	27	43	23	37	13	12	9	23	7
yabR	U00096.3	85467	85511	-	45	4	0	0	0	4	1	0	0	0	0	0	0	0	0	0
ilvI	U00096.3	85630	87354	+	1725	154	263	156	205	136	319	306	266	293	220	25	55	70	40	43
ilvH	U00096.3	87357	87848	+	492	44	67	44	58	33	233	159	180	191	223	27	22	23	23	18
cra	U00096.3	88028	89032	+	1005	234	363	294	340	251	220	133	208	190	228	116	105	127	108	129
mraZ	U00096.3	89634	90092	+	459	1262	2260	1529	2047	988	1202	964	1269	1142	1011	365	575	416	507	421
rsmH	U00096.3	90094	91035	+	942	917	1463	968	1279	698	1043	699	974	887	976	258	330	297	313	306
ftsL	U00096.3	91032	91397	+	366	206	481	309	383	208	448	254	378	385	311	70	102	85	96	93
ftsI	U00096.3	91413	93179	+	1767	1356	3208	2020	2816	1567	4100	2471	3274	2521	2815	1735	1731	3252	1620	1810
murE	U00096.3	93166	94653	+	1488	683	1193	748	1071	665	1289	693	1095	1071	945	318	425	464	306	373
murF	U00096.3	94650	96008	+	1359	490	916	538	812	460	995	535	886	869	728	199	283	387	194	289
mraY	U00096.3	96002	97084	+	1083	263	458	258	367	180	638	280	532	533	522	161	166	242	138	164
murD	U00096.3	97087	98403	+	1317	410	865	465	695	433	1287	644	1081	1005	1083	310	281	414	242	355
ftsW	U00096.3	98403	99647	+	1245	644	1376	830	1098	809	1917	990	1689	1626	1335	340	326	409	292	428
murG	U00096.3	99644	100711	+	1068	456	1027	599	854	563	1680	885	1340	1378	1169	247	301	379	236	369
murC	U00096.3	100765	102240	+	1476	585	1185	816	1027	725	1937	1018	1516	1538	1489	343	331	488	286	396
ddlB	U00096.3	102233	103153	+	921	575	1015	624	869	602	1440	794	1211	1170	1269	269	273	397	234	334
ftsQ	U00096.3	103155	103985	+	831	1474	2693	1643	1969	1282	2787	1483	2183	2237	1910	365	431	503	394	563
ftsA	U00096.3	103982	105244	+	1263	2035	4181	2686	3306	2087	4815	2763	4087	4031	3451	734	883	837	771	1045
ftsZ	U00096.3	105305	106456	+	1152	1158	2308	1740	1966	1359	4353	2448	3823	3715	4289	934	735	1180	664	981
lpxC	U00096.3	106557	107474	+	918	2196	3709	2904	3193	1898	5811	4137	5215	5025	7935	1962	1806	2767	1682	2349
secM	U00096.3	107705	108217	+	513	406	757	624	663	335	1053	782	856	790	647	180	314	251	252	294
secA	U00096.3	108279	110984	+	2706	1160	2361	1650	1880	1214	5091	3408	4164	4242	5220	865	513	668	497	1011
mutT	U00096.3	111044	111433	+	390	39	81	60	61	30	78	67	65	59	56	14	26	28	17	23
yacG	U00096.3	111649	111846	-	198	45	61	51	46	34	76	55	70	71	87	25	13	23	15	22
zapD	U00096.3	111856	112599	-	744	140	179	133	166	77	217	142	174	191	181	43	36	63	47	48
coaE	U00096.3	112599	113219	-	621	148	217	156	162	94	177	133	159	148	113	36	46	46	46	48
yacM	U00096.3	113244	113288	+	45	9	3	6	7	6	9	6	10	7	2	3	1	2	2	2
guaC	U00096.3	113444	114487	+	1044	222	303	235	246	214	610	371	495	511	730	106	92	124	64	65
hofC	U00096.3	114522	115724	-	1203	86	65	51	60	39	61	51	62	61	68	11	33	34	19	17
hofB	U00096.3	115714	117099	-	1386	66	63	46	53	23	63	61	55	51	71	15	23	48	22	17
ppdD	U00096.3	117109	117549	-	441	35	10	8	5	9	11	9	6	7	7	4	3	2	10	4
nadC	U00096.3	117752	118645	-	894	116	198	142	148	102	164	141	196	146	150	62	87	120	58	67
ampD	U00096.3	118733	119284	+	552	321	554	345	381	281	175	125	187	176	162	109	211	222	141	139
ampE	U00096.3	119281	120135	+	855	155	253	132	203	119	121	77	122	121	168	64	109	112	75	65
aroP	U00096.3	120178	121551	-	1374	490	775	443	730	414	508	281	410	422	467	304	223	369	236	245
pdhR	U00096.3	122092	122856	+	765	278	331	276	207	225	656	359	139	352	170	60	136	351	95	84
aceE	U00096.3	123017	125680	+	2664	3162	5982	3834	4044	3181	11267	4384	3152	4234	3914	1515	1556	3296	771	1309
aceF	U00096.3	125695	127587	+	1893	2213	4567	2702	3071	2148	5773	2250	2284	2421	3477	1136	824	1360	409	843
lpd	U00096.3	127912	129336	+	1425	3102	6515	4153	4695	2922	8671	4718	5750	4860	6290	3453	3543	5501	2630	2699
yacH	U00096.3	129407	131260	-	1854	105	82	60	58	53	89	61	74	67	65	17	37	42	29	27
acnB	U00096.3	131615	134212	+	2598	4077	8198	4941	6836	3459	10964	5168	12484	9177	12527	6843	6177	11379	5480	5201
yacL	U00096.3	134388	134750	+	363	468	585	473	465	272	297	252	242	291	268	106	159	150	130	119
speD	U00096.3	134788	135582	-	795	496	682	588	475	370	842	692	368	390	336	186	453	516	262	129
speE	U00096.3	135598	136464	-	867	423	632	532	475	353	933	775	406	466	330	224	478	616	259	164
yacC	U00096.3	136570	136917	-	348	105	170	130	148	72	140	106	119	132	146	66	84	87	65	66
cueO	U00096.3	137083	138633	+	1551	289	352	221	288	216	267	160	293	233	230	91	70	133	66	96
gcd	U00096.3	138835	141225	-	2391	142	175	134	100	97	547	431	176	242	221	133	129	356	98	117
hpt	U00096.3	141431	141967	+	537	137	236	147	168	110	318	188	241	240	306	155	140	225	118	148
can	U00096.3	142008	142670	-	663	524	836	607	706	467	1031	675	929	886	962	308	400	422	258	287
yadG	U00096.3	142779	143705	+	927	306	413	245	300	187	387	272	380	316	323	195	181	274	140	144
yadH	U00096.3	143702	144472	+	771	121	157	105	122	59	239	171	245	240	320	135	99	159	81	113
yadI	U00096.3	144577	145017	+	441	95	135	90	107	61	96	58	77	71	121	68	59	80	44	44
yadE	U00096.3	145081	146310	+	1230	140	169	146	147	105	125	105	106	83	115	33	49	63	40	34
panD	U00096.3	146314	146694	-	381	87	99	86	103	51	177	133	220	184	279	108	84	106	59	64
rpnC	U00096.3	146968	147870	+	903	284	429	323	377	215	179	114	186	145	136	95	136	120	131	106
panC	U00096.3	147944	148795	-	852	207	299	201	211	124	284	135	267	250	310	130	108	146	92	103
panB	U00096.3	148807	149601	-	795	96	119	75	90	48	188	102	148	149	199	66	62	71	47	59
yadC	U00096.3	149715	150953	-	1239	49	35	28	23	28	15	17	24	10	15	8	8	6	16	6
yadK	U00096.3	151003	151599	-	597	25	14	17	14	11	4	2	3	2	5	3	3	2	9	2
yadL	U00096.3	151626	152231	-	606	22	15	4	4	13	5	6	7	6	1	0	6	6	4	1
yadM	U00096.3	152243	152812	-	570	32	9	13	11	11	10	5	11	2	2	1	3	3	8	4
htrE	U00096.3	152829	155426	-	2598	99	37	37	27	36	26	14	15	16	14	3	13	7	19	11
yadV	U00096.3	155461	156201	-	741	24	12	9	9	4	9	6	7	7	4	1	5	5	5	3
yadN	U00096.3	156299	156883	-	585	18	5	3	2	6	3	4	2	4	2	0	5	1	2	0
folK	U00096.3	157253	157732	-	480	42	40	29	24	27	69	32	38	53	47	13	24	28	16	14
pcnB	U00096.3	157729	159126	-	1398	244	316	243	245	179	523	356	303	362	365	157	178	300	121	114
gluQ	U00096.3	159186	160112	-	927	131	144	120	124	87	108	113	89	87	90	53	47	45	51	37
dksA	U00096.3	160149	160604	-	456	1756	3461	2677	2881	1971	1543	1221	1629	1456	1997	1120	1306	1084	1057	921
sfsA	U00096.3	160782	161486	-	705	1873	3156	2681	2539	1715	1139	1039	1285	1174	1375	724	979	881	946	835
thpR	U00096.3	161501	162031	-	531	49	40	28	32	30	64	38	45	50	50	11	17	18	18	8
hrpB	U00096.3	162105	164534	+	2430	286	387	232	303	211	458	285	391	433	472	108	92	127	83	100
mrcB	U00096.3	164730	167264	+	2535	366	593	379	594	337	816	481	684	728	675	187	175	225	149	197
fhuA	U00096.3	167484	169727	+	2244	389	579	433	345	336	282	313	240	245	221	241	206	282	185	155
fhuC	U00096.3	169778	170575	+	798	67	103	64	64	80	102	106	89	73	76	35	28	57	29	20
fhuD	U00096.3	170575	171465	+	891	66	66	48	48	44	65	52	51	48	47	28	23	32	20	21
fhuB	U00096.3	171462	173444	+	1983	123	74	66	91	68	91	68	55	76	89	37	42	23	30	23
hemL	U00096.3	173602	174882	-	1281	222	394	307	282	205	395	357	393	428	590	144	145	188	130	157
clcA	U00096.3	175107	176528	+	1422	266	402	303	322	156	419	296	408	362	407	121	106	107	106	125
yadW	U00096.3	176552	176617	+	66	122	212	141	157	68	236	160	225	191	258	70	75	80	67	81
erpA	U00096.3	176610	176954	+	345	232	339	246	269	146	472	340	439	449	779	214	160	303	152	174
yadS	U00096.3	177001	177624	-	624	83	73	56	58	47	86	69	68	72	78	27	35	32	27	30
btuF	U00096.3	177662	178462	-	801	70	102	62	64	49	125	94	97	107	116	55	42	71	43	51
mtn	U00096.3	178455	179153	-	699	196	308	235	256	180	586	507	535	593	734	233	205	322	181	235
dgt	U00096.3	179237	180754	+	1518	136	167	157	142	95	220	138	211	188	212	95	48	81	56	54
degP	U00096.3	180884	182308	+	1425	89	175	135	136	100	302	244	272	382	578	80	64	184	45	69
cdaR	U00096.3	182463	183620	+	1158	233	359	219	323	174	124	86	162	147	194	154	106	135	77	74
yaeH	U00096.3	183709	184095	-	387	182	290	227	238	144	235	184	310	218	344	209	186	257	144	145
yaeI	U00096.3	184257	185069	-	813	73	77	60	67	44	54	31	43	49	38	20	23	14	23	25
dapD	U00096.3	185123	185947	-	825	259	431	299	386	267	998	602	908	897	1253	373	240	377	219	302
glnD	U00096.3	185978	188650	-	2673	371	675	447	520	300	1307	862	1060	1104	930	122	225	325	208	239
map	U00096.3	188712	189506	-	795	356	660	389	538	309	774	553	717	704	762	255	250	318	232	247
tff	U00096.3	189712	189847	+	136	1964	4054	2357	3443	1392	6703	4770	4006	3995	2589	2163	3549	3319	2108	1974
rpsB	U00096.3	189874	190599	+	726	4195	6809	4552	4993	3827	8152	5276	5134	5072	5312	3015	3530	4562	2316	2116
tsf	U00096.3	190857	191708	+	852	1318	2506	1717	2063	1510	4205	2756	2676	2659	3231	1498	1330	1743	831	865
pyrH	U00096.3	191855	192580	+	726	1255	2460	1772	1596	1341	2637	1910	1609	1382	1046	282	730	690	426	464
frr	U00096.3	192872	193429	+	558	729	1286	825	981	577	1765	1123	1434	1221	1524	522	594	906	516	540
dxr	U00096.3	193521	194717	+	1197	169	228	177	219	114	491	286	383	372	487	92	65	111	67	89
ispU	U00096.3	194903	195664	+	762	1063	1729	1102	1391	852	1337	872	863	947	763	512	654	800	470	415
cdsA	U00096.3	195677	196534	+	858	391	565	441	492	311	647	455	464	454	510	235	244	296	159	145
rseP	U00096.3	196546	197898	+	1353	1130	2476	1445	1832	1204	2304	1410	1754	1684	1538	648	689	812	502	609
bamA	U00096.3	197928	200360	+	2433	1947	3692	2357	2931	1781	4377	2827	3619	3299	3143	1251	1053	1386	821	1054
skp	U00096.3	200482	200967	+	486	994	1985	1366	1541	1053	1352	812	1110	928	1148	632	716	883	550	532
lpxD	U00096.3	200971	201996	+	1026	467	749	474	571	340	1291	771	1090	985	1323	462	288	427	270	337
fabZ	U00096.3	202101	202556	+	456	2080	3335	2199	2466	1854	1536	1118	1205	1150	1010	640	866	882	670	613
lpxA	U00096.3	202560	203348	+	789	257	398	312	366	268	575	377	447	391	615	292	183	290	154	187
lpxB	U00096.3	203348	204496	+	1149	208	245	201	218	133	453	244	305	303	334	143	97	143	68	105
rnhB	U00096.3	204493	205089	+	597	104	127	92	117	66	267	155	196	160	176	55	50	48	29	52
dnaE	U00096.3	205126	208608	+	3483	705	1271	827	1023	700	2545	1560	1882	1898	1639	432	419	501	333	467
accA	U00096.3	208621	209580	+	960	301	451	320	407	221	698	435	608	514	774	209	154	232	128	163
ldcC	U00096.3	209679	211820	+	2142	172	220	183	168	118	199	134	151	140	196	82	65	94	72	95
yaeR	U00096.3	211877	212266	+	390	86	117	92	112	64	114	78	120	96	97	50	44	73	53	68
tilS	U00096.3	212331	213629	+	1299	124	169	137	180	112	225	156	164	207	207	72	67	95	64	88
rof	U00096.3	213678	213932	-	255	41	99	55	69	38	133	95	156	139	257	67	58	79	50	60
yaeP	U00096.3	213925	214125	-	201	50	81	64	67	47	127	92	181	150	281	98	57	98	53	81
yaeQ	U00096.3	214291	214836	+	546	112	184	144	127	93	156	120	110	92	107	69	68	105	66	62
arfB	U00096.3	214833	215255	+	423	119	212	154	184	112	172	102	118	112	92	60	88	112	66	69
nlpE	U00096.3	215269	215979	+	711	267	440	282	368	246	274	188	210	178	198	111	130	183	113	128
yaeF	U00096.3	216179	217003	-	825	79	102	87	87	54	73	59	58	59	59	38	46	29	36	23
proS	U00096.3	217057	218775	-	1719	571	923	662	740	506	1143	767	930	919	1100	291	286	438	207	241
trmO	U00096.3	218887	219594	-	708	57	58	42	22	29	55	62	43	44	53	20	22	32	17	19
rcsF	U00096.3	219591	219995	-	405	65	90	57	64	38	104	62	69	72	79	50	51	76	30	39
metQ	U00096.3	220113	220928	-	816	150	284	208	281	159	388	242	404	326	409	230	167	193	118	124
metI	U00096.3	220968	221621	-	654	62	65	51	62	47	131	75	99	69	94	43	39	37	28	37
metN	U00096.3	221614	222645	-	1032	50	41	27	46	19	53	18	31	37	33	28	18	22	7	9
gmhB	U00096.3	222833	223408	+	576	191	339	206	255	213	262	164	232	198	148	101	150	190	109	123
rrsH	U00096.3	223771	225312	+	1542	844554	1163960	918757	1073622	879794	1124469	881979	991408	1110070	716169	926552	1153338	1270807	1001830	1124979
ileV	U00096.3	225381	225457	+	77	79	161	130	163	92	440	274	208	192	191	134	112	269	84	97
alaV	U00096.3	225500	225575	+	76	64	120	81	120	64	323	189	146	121	158	87	77	184	50	62
rrlH	U00096.3	225759	228662	+	2904	1190306	1683150	1387644	1604523	1156585	2056957	1725475	1877429	1984186	1450197	1691096	2036227	2280472	1795688	2047786
rrfH	U00096.3	228756	228875	+	120	513	934	712	1117	621	2312	1496	1469	1367	3546	2255	1020	3020	1048	1463
aspU	U00096.3	228928	229004	+	77	151	134	92	122	94	188	122	86	97	120	66	61	100	54	49
dkgB	U00096.3	229167	229970	+	804	133	172	117	110	93	200	195	248	322	170	18	35	44	33	21
yafC	U00096.3	229967	230881	-	915	86	87	63	67	46	119	116	115	107	123	29	37	36	27	38
yafD	U00096.3	231122	231922	+	801	140	269	224	233	142	349	319	428	426	548	151	123	191	132	187
yafE	U00096.3	231926	232549	+	624	97	155	116	152	81	249	185	230	226	279	52	57	52	38	71
mltD	U00096.3	232597	233955	-	1359	1131	2021	1336	1537	924	4312	2798	2750	3108	2889	1220	1139	1601	1007	1008
gloB	U00096.3	234027	234782	-	756	121	218	144	213	95	119	72	86	62	61	55	51	73	50	33
yafS	U00096.3	234816	235538	+	723	100	133	95	106	66	118	101	75	87	108	42	60	68	36	38
rnhA	U00096.3	235535	236002	-	468	66	62	63	58	46	84	69	53	67	68	44	39	42	33	32
dnaQ	U00096.3	236067	236798	+	732	153	202	176	147	100	170	158	149	174	185	45	55	94	54	53
aspV	U00096.3	236931	237007	+	77	14	18	12	17	5	24	6	11	17	23	8	7	18	8	7
yafT	U00096.3	237335	238120	+	786	35	16	10	17	13	7	8	5	12	5	0	6	4	4	4
ykfM	U00096.3	238257	238736	-	480	27	10	8	9	11	4	3	4	4	0	1	1	5	7	1
yafV	U00096.3	239419	240189	-	771	98	130	101	104	69	59	48	68	76	84	36	32	52	44	47
ivy	U00096.3	240343	240816	+	474	775	1034	767	634	290	168	142	170	147	171	160	363	969	360	449
fadE	U00096.3	240859	243303	-	2445	2433	5301	2525	4677	1674	745	361	3094	1398	5894	4684	2367	2640	3593	2334
lpcA	U00096.3	243543	244121	+	579	101	197	119	162	104	200	111	199	188	288	150	95	152	91	110
yafJ	U00096.3	244327	245094	+	768	476	782	588	791	373	538	478	504	503	417	174	185	195	159	168
yafK	U00096.3	245065	245805	-	741	651	918	693	953	457	702	618	531	525	418	155	184	182	128	127
yafQ	U00096.3	245961	246239	-	279	829	1134	957	804	607	282	307	244	251	182	122	290	191	291	148
dinJ	U00096.3	246242	246502	-	261	743	1017	838	720	546	293	327	255	257	222	131	324	209	317	176
yafL	U00096.3	246712	247461	+	750	50	36	29	23	16	20	13	17	17	14	1	11	5	9	11
rayT	U00096.3	247637	248134	+	498	27	32	27	24	13	23	13	24	21	12	5	11	9	9	11
dinB	U00096.3	250898	251953	+	1056	83	79	47	60	42	48	44	42	48	61	19	39	42	31	27
yafN	U00096.3	252005	252298	+	294	39	39	44	27	16	24	9	10	12	7	4	8	12	8	12
yafO	U00096.3	252301	252699	+	399	46	47	47	34	16	16	11	5	18	10	1	1	5	14	5
yafP	U00096.3	252709	253161	+	453	22	10	13	12	8	9	7	4	5	3	1	2	1	6	2
pepD	U00096.3	254259	255716	-	1458	755	1388	929	1152	655	1678	1153	1643	1456	1478	857	894	1288	704	787
gpt	U00096.3	255977	256435	+	459	74	117	101	78	46	383	284	278	310	329	69	83	180	70	59
frsA	U00096.3	256527	257771	+	1245	161	184	154	139	81	230	199	170	185	167	74	66	96	57	63
insB9	U00096.3	257923	258426	-	504	108	177	167	140	95	38	47	38	49	62	124	86	112	119	71
insA9	U00096.3	258345	258620	-	276	146	269	189	185	137	38	33	30	43	45	165	130	143	149	98
phoE	U00096.3	259045	260100	-	1056	59	27	33	32	24	13	9	16	19	21	5	9	6	11	2
proB	U00096.3	260388	261491	+	1104	216	376	274	298	179	355	291	391	379	454	152	119	175	100	138
proA	U00096.3	261503	262756	+	1254	265	409	284	337	202	408	332	486	472	609	161	145	185	124	169
thrW	U00096.3	262871	262946	+	76	79	114	85	92	49	79	63	99	86	197	68	39	57	38	40
ykfI	U00096.3	263328	263669	-	342	43	53	22	28	17	23	20	36	42	43	15	14	20	8	9
yafW	U00096.3	263690	264007	-	318	41	44	21	21	16	36	23	34	54	43	11	17	28	9	12
ykfH	U00096.3	264026	264247	-	222	34	25	21	20	12	18	14	21	29	23	6	7	22	5	5
ykfG	U00096.3	264256	264732	-	477	42	56	23	41	19	29	32	25	35	29	7	8	9	7	8
yafX	U00096.3	264748	265206	-	459	119	140	87	120	74	125	83	113	125	121	40	38	60	44	58
ykfF	U00096.3	265304	265543	-	240	25	30	14	20	21	19	20	44	30	36	7	8	12	15	9
ykfB	U00096.3	265620	266087	-	468	45	66	49	46	58	76	53	86	65	115	31	23	26	34	32
yafY	U00096.3	266110	266553	-	444	35	34	26	24	23	38	26	30	20	22	15	12	10	15	10
yafZ	U00096.3	267184	268005	-	822	105	67	46	43	47	26	18	30	22	20	10	18	20	23	12
ykfA	U00096.3	268097	268960	-	864	110	124	81	103	55	95	72	79	81	88	40	35	27	26	25
perR	U00096.3	269289	270182	-	894	46	50	37	37	23	35	37	28	30	25	11	17	13	23	13
insI-1	U00096.3	270603	271754	+	1152	174	216	161	133	118	89	83	79	82	77	27	39	51	55	36
eyeA	U00096.3	272580	272654	+	75	9	21	13	17	14	23	12	25	7	18	9	6	12	13	4
ykfC	U00096.3	272847	273992	+	1146	80	65	40	61	47	78	38	76	56	91	23	17	29	31	25
insH-1	U00096.3	274101	275117	-	1017	753	1379	819	1186	636	584	560	754	539	620	201	177	211	231	531
mmuP	U00096.3	275325	276728	+	1404	53	33	25	17	21	32	28	50	48	56	36	34	38	38	18
mmuM	U00096.3	276715	277647	+	933	140	202	148	161	138	152	119	224	151	290	171	132	161	151	115
afuC	U00096.3	277756	278802	-	1047	48	40	41	48	30	42	29	33	42	52	9	13	15	15	13
