Geneid	Chr	Start	End	Strand	Length	R76	R77	R78	R79	R80	R81	R82	R83	R84	R85	R86	R87	R88	R89	R90
lptD	U00096.3	54755	57109	-	2355	325	334	207	221	360	248	408	389	381	504	562	300	548	741	335
djlA	U00096.3	57364	58179	+	816	23	12	18	35	34	23	38	32	25	27	32	14	43	44	27
yabP	U00096.3	58474	59124	+	651	19	6	14	28	14	12	22	32	29	17	16	17	22	32	18
yabQ	U00096.3	59121	59279	+	159	23	15	11	38	22	22	28	32	30	28	31	26	35	49	13
rluA	U00096.3	59687	60346	-	660	23	17	8	22	18	21	15	23	18	30	25	11	36	31	23
rapA	U00096.3	60358	63264	-	2907	55	46	23	57	45	49	39	52	42	115	57	38	203	133	117
polB	U00096.3	63429	65780	-	2352	27	18	18	37	25	21	48	34	41	35	50	31	36	58	36
araD	U00096.3	65855	66550	-	696	8	3	2	9	7	4	13	7	10	13	21	12	10	14	14
araA	U00096.3	66835	68337	-	1503	13	4	8	26	26	9	22	22	17	26	48	11	16	23	7
araB	U00096.3	68348	70048	-	1701	5	5	6	39	15	4	26	20	17	13	35	20	14	21	30
araC	U00096.3	70387	71265	+	879	4	4	7	19	15	4	7	12	8	10	15	18	12	21	5
yabI	U00096.3	71351	72115	+	765	22	16	16	30	20	23	29	21	36	36	59	35	43	55	30
thiQ	U00096.3	72229	72927	-	699	6	5	14	11	6	8	15	7	7	7	20	17	10	13	19
thiP	U00096.3	72911	74521	-	1611	6	8	7	23	4	10	14	12	11	6	8	10	15	9	10
thiB	U00096.3	74497	75480	-	984	10	6	6	17	6	3	13	11	7	16	6	7	15	14	7
sgrR	U00096.3	75644	77299	-	1656	6	7	13	20	15	15	15	21	24	16	28	21	11	16	12
sgrS	U00096.3	77367	77593	+	227	142	200	101	105	174	228	83	117	166	244	356	88	772	1360	228
sgrT	U00096.3	77388	77519	+	132	141	199	100	103	172	228	82	116	164	243	355	88	772	1360	227
setA	U00096.3	77621	78799	+	1179	44	20	34	49	30	50	70	53	65	56	74	46	129	60	91
leuD	U00096.3	78848	79453	-	606	69	59	29	50	60	39	53	49	57	148	79	33	45	123	35
leuC	U00096.3	79464	80864	-	1401	158	139	70	91	145	99	108	171	140	316	198	74	119	311	89
leuB	U00096.3	80867	81958	-	1092	101	128	63	83	113	62	79	113	115	236	164	65	85	235	54
leuA	U00096.3	81958	83529	-	1572	153	159	67	102	135	81	110	156	131	250	190	61	95	268	77
leuL	U00096.3	83622	83708	-	87	0	2	0	4	3	0	0	2	3	2	1	1	0	5	0
leuO	U00096.3	84368	85312	+	945	4	2	6	21	6	4	11	14	10	8	7	11	10	15	9
yabR	U00096.3	85467	85511	-	45	0	1	0	1	0	0	0	0	1	0	0	1	0	0	0
ilvI	U00096.3	85630	87354	+	1725	29	38	15	34	28	31	61	42	57	42	61	21	44	67	37
ilvH	U00096.3	87357	87848	+	492	7	10	5	16	9	7	11	14	15	17	18	7	9	14	2
cra	U00096.3	88028	89032	+	1005	61	43	22	49	60	39	65	81	50	77	115	57	79	147	68
mraZ	U00096.3	89634	90092	+	459	299	318	184	219	351	200	333	326	364	394	517	220	391	645	295
rsmH	U00096.3	90094	91035	+	942	195	175	124	160	174	132	227	199	195	236	344	184	260	324	191
ftsL	U00096.3	91032	91397	+	366	49	48	37	55	38	50	87	60	92	97	119	49	80	133	57
ftsI	U00096.3	91413	93179	+	1767	570	596	306	379	718	520	612	657	835	544	761	314	833	1112	521
murE	U00096.3	93166	94653	+	1488	180	184	104	129	195	124	242	212	187	286	356	153	283	498	178
murF	U00096.3	94650	96008	+	1359	136	167	99	106	170	124	225	173	158	241	269	146	248	349	162
mraY	U00096.3	96002	97084	+	1083	69	75	29	54	77	45	100	97	92	108	138	64	135	175	102
murD	U00096.3	97087	98403	+	1317	118	99	83	78	128	88	171	144	150	203	292	118	234	327	119
ftsW	U00096.3	98403	99647	+	1245	264	196	92	124	216	157	340	208	296	347	516	143	331	449	211
murG	U00096.3	99644	100711	+	1068	144	136	84	95	130	102	201	172	195	253	309	123	270	334	149
murC	U00096.3	100765	102240	+	1476	170	185	108	114	175	116	228	201	173	247	326	126	307	380	137
ddlB	U00096.3	102233	103153	+	921	150	127	108	128	145	121	237	151	183	214	267	121	215	296	147
ftsQ	U00096.3	103155	103985	+	831	327	348	218	258	342	275	567	365	457	414	621	263	452	560	332
ftsA	U00096.3	103982	105244	+	1263	516	562	420	433	569	471	855	634	788	840	1123	400	834	996	508
ftsZ	U00096.3	105305	106456	+	1152	360	374	249	235	355	279	473	396	474	578	794	249	530	729	279
lpxC	U00096.3	106557	107474	+	918	611	604	367	454	613	592	886	719	830	1067	1273	550	1246	1442	774
secM	U00096.3	107705	108217	+	513	129	132	63	56	136	136	181	154	155	196	278	119	237	279	156
secA	U00096.3	108279	110984	+	2706	327	292	184	244	349	387	525	437	592	760	853	239	725	788	355
mutT	U00096.3	111044	111433	+	390	5	6	8	14	10	6	22	10	21	18	13	9	15	19	25
yacG	U00096.3	111649	111846	-	198	18	8	3	4	9	7	18	7	10	13	11	13	11	23	7
zapD	U00096.3	111856	112599	-	744	17	19	14	21	25	23	28	26	31	30	38	22	38	32	19
coaE	U00096.3	112599	113219	-	621	24	18	16	19	23	12	29	20	25	37	37	16	29	41	28
yacM	U00096.3	113244	113288	+	45	1	1	1	3	2	1	3	2	3	0	1	0	1	4	3
guaC	U00096.3	113444	114487	+	1044	47	56	46	44	47	41	65	64	61	65	64	27	57	52	26
hofC	U00096.3	114522	115724	-	1203	10	8	6	13	9	13	15	10	13	7	19	13	14	17	11
hofB	U00096.3	115714	117099	-	1386	4	9	4	11	7	4	10	16	10	11	15	13	14	25	6
ppdD	U00096.3	117109	117549	-	441	0	1	2	5	4	0	8	7	3	2	4	6	2	7	4
nadC	U00096.3	117752	118645	-	894	21	28	12	17	21	15	28	38	37	37	38	15	29	49	31
ampD	U00096.3	118733	119284	+	552	52	53	52	69	86	56	97	65	59	76	91	67	80	97	81
ampE	U00096.3	119281	120135	+	855	13	28	16	43	42	17	38	25	42	19	38	27	37	33	18
aroP	U00096.3	120178	121551	-	1374	76	80	42	96	100	45	128	128	122	87	166	88	70	146	64
pdhR	U00096.3	122092	122856	+	765	40	67	36	41	42	87	57	43	42	78	71	71	179	112	98
aceE	U00096.3	123017	125680	+	2664	1150	2146	1703	1239	1223	3096	2565	1815	1605	2698	3019	3030	7444	4806	3713
aceF	U00096.3	125695	127587	+	1893	673	1208	980	944	817	1914	1791	1135	1052	1592	1937	1928	4606	2860	2269
lpd	U00096.3	127912	129336	+	1425	1102	1394	949	850	1331	1499	1431	1281	1127	2007	2167	1330	2932	3384	1587
yacH	U00096.3	129407	131260	-	1854	8	2	7	15	10	18	22	21	34	21	16	25	20	27	24
acnB	U00096.3	131615	134212	+	2598	1549	1530	925	905	1706	753	1206	1400	1411	2089	2391	933	1135	3071	586
yacL	U00096.3	134388	134750	+	363	82	73	82	86	69	80	116	103	101	79	87	73	120	145	98
speD	U00096.3	134788	135582	-	795	292	412	263	218	289	276	302	247	277	250	252	300	402	332	248
speE	U00096.3	135598	136464	-	867	283	342	218	132	257	254	266	213	267	198	222	262	298	331	201
yacC	U00096.3	136570	136917	-	348	13	7	4	16	9	14	15	11	23	25	19	6	20	31	26
cueO	U00096.3	137083	138633	+	1551	47	99	72	92	75	68	109	85	89	118	130	95	129	253	117
gcd	U00096.3	138835	141225	-	2391	41	28	30	43	37	58	54	58	47	75	39	46	145	56	87
hpt	U00096.3	141431	141967	+	537	40	41	47	48	60	50	63	59	57	92	69	31	76	84	54
can	U00096.3	142008	142670	-	663	153	122	71	89	129	85	134	155	173	169	189	76	138	212	91
yadG	U00096.3	142779	143705	+	927	61	57	54	52	65	84	106	103	121	105	134	97	153	161	108
yadH	U00096.3	143702	144472	+	771	31	30	26	26	42	35	52	36	65	51	81	37	75	77	42
yadI	U00096.3	144577	145017	+	441	26	27	9	27	23	21	26	15	16	30	28	17	32	45	21
yadE	U00096.3	145081	146310	+	1230	19	16	10	32	9	9	27	18	19	26	18	20	12	30	25
panD	U00096.3	146314	146694	-	381	14	7	8	16	12	10	25	22	27	25	28	11	9	46	10
rpnC	U00096.3	146968	147870	+	903	51	63	54	62	79	66	91	98	81	83	93	74	104	129	79
panC	U00096.3	147944	148795	-	852	43	61	34	31	51	38	57	65	62	57	110	40	77	93	50
panB	U00096.3	148807	149601	-	795	18	26	19	23	19	23	23	20	36	35	37	18	43	49	35
yadC	U00096.3	149715	150953	-	1239	0	2	2	36	8	3	9	12	4	3	0	12	5	3	12
yadK	U00096.3	151003	151599	-	597	1	1	2	17	2	3	2	1	1	1	1	3	0	3	8
yadL	U00096.3	151626	152231	-	606	1	2	4	9	2	2	3	1	3	0	0	5	3	4	9
yadM	U00096.3	152243	152812	-	570	2	3	2	8	2	4	3	2	6	2	4	10	2	2	5
htrE	U00096.3	152829	155426	-	2598	6	2	4	32	6	5	22	7	8	8	6	13	8	8	12
yadV	U00096.3	155461	156201	-	741	1	3	1	9	1	2	2	1	1	5	1	11	2	5	3
yadN	U00096.3	156299	156883	-	585	1	0	1	6	1	0	1	1	2	0	2	5	3	1	4
folK	U00096.3	157253	157732	-	480	8	3	4	14	6	6	11	4	10	13	5	4	15	8	11
pcnB	U00096.3	157729	159126	-	1398	67	53	36	42	63	56	62	61	92	99	73	74	126	138	75
gluQ	U00096.3	159186	160112	-	927	16	15	13	24	32	15	15	13	22	30	46	30	57	55	35
dksA	U00096.3	160149	160604	-	456	580	729	601	493	747	366	564	565	642	663	879	380	669	1168	468
sfsA	U00096.3	160782	161486	-	705	349	254	235	340	383	190	333	373	357	348	549	233	418	583	315
thpR	U00096.3	161501	162031	-	531	8	2	6	19	5	4	8	10	11	16	17	5	18	9	9
hrpB	U00096.3	162105	164534	+	2430	37	49	36	72	57	47	75	67	78	94	132	60	117	96	59
mrcB	U00096.3	164730	167264	+	2535	76	66	48	76	74	89	120	102	115	133	206	82	166	205	108
fhuA	U00096.3	167484	169727	+	2244	91	144	63	102	119	61	83	79	57	79	56	60	51	105	53
fhuC	U00096.3	169778	170575	+	798	14	24	9	24	23	11	15	12	18	13	10	13	7	6	8
fhuD	U00096.3	170575	171465	+	891	8	16	8	26	19	4	14	9	9	5	3	14	18	19	7
fhuB	U00096.3	171462	173444	+	1983	5	15	11	40	14	21	17	24	24	18	21	17	19	29	24
hemL	U00096.3	173602	174882	-	1281	72	73	57	52	61	43	92	95	78	120	117	55	90	163	55
clcA	U00096.3	175107	176528	+	1422	56	52	32	62	57	70	99	78	98	96	104	52	85	128	65
yadW	U00096.3	176552	176617	+	66	27	26	16	34	32	25	54	42	54	54	45	23	42	53	37
erpA	U00096.3	176610	176954	+	345	35	37	19	37	39	35	62	45	60	86	70	31	57	80	46
yadS	U00096.3	177001	177624	-	624	9	6	11	16	8	7	12	10	9	23	14	4	19	17	7
btuF	U00096.3	177662	178462	-	801	22	12	7	27	11	17	25	15	27	16	25	19	26	26	16
mtn	U00096.3	178455	179153	-	699	62	52	59	35	60	40	66	60	55	90	97	31	82	150	39
dgt	U00096.3	179237	180754	+	1518	33	23	21	38	32	27	38	35	46	40	47	26	28	61	30
degP	U00096.3	180884	182308	+	1425	75	45	33	65	53	87	117	56	188	176	139	78	99	142	90
cdaR	U00096.3	182463	183620	+	1158	48	51	27	61	50	31	57	57	50	71	99	47	61	144	38
yaeH	U00096.3	183709	184095	-	387	48	70	48	43	47	41	58	65	50	67	54	31	76	116	46
yaeI	U00096.3	184257	185069	-	813	3	7	9	15	5	6	11	10	19	10	20	9	10	11	11
dapD	U00096.3	185123	185947	-	825	88	73	58	79	105	74	115	110	144	142	173	78	114	215	79
glnD	U00096.3	185978	188650	-	2673	122	97	78	77	121	85	182	144	168	159	199	112	149	197	78
map	U00096.3	188712	189506	-	795	124	124	79	94	112	92	121	127	116	140	185	74	178	228	104
tff	U00096.3	189712	189847	+	136	1207	1773	1011	742	1257	1107	1121	1222	999	1720	893	594	1838	2719	1130
rpsB	U00096.3	189874	190599	+	726	1290	1805	1321	957	1458	1245	1459	1402	1362	1947	1724	1536	3283	3489	2360
tsf	U00096.3	190857	191708	+	852	483	592	375	318	505	447	405	412	420	760	604	375	1120	1272	562
pyrH	U00096.3	191855	192580	+	726	482	625	339	280	473	423	565	561	554	420	557	506	832	669	554
frr	U00096.3	192872	193429	+	558	177	253	163	159	237	176	235	244	239	252	319	181	308	443	202
dxr	U00096.3	193521	194717	+	1197	26	29	22	35	25	27	30	41	48	66	42	36	63	83	62
ispU	U00096.3	194903	195664	+	762	200	260	164	167	257	180	187	246	227	269	300	193	367	409	287
cdsA	U00096.3	195677	196534	+	858	93	88	51	68	85	84	105	72	62	111	122	86	151	172	82
rseP	U00096.3	196546	197898	+	1353	346	385	199	291	415	380	590	414	489	544	644	424	664	805	519
bamA	U00096.3	197928	200360	+	2433	614	583	364	457	655	538	836	752	809	838	1038	654	1204	1330	724
skp	U00096.3	200482	200967	+	486	163	269	159	146	232	214	231	274	246	284	276	205	479	449	230
lpxD	U00096.3	200971	201996	+	1026	129	113	82	90	119	89	136	135	127	172	205	118	245	250	137
fabZ	U00096.3	202101	202556	+	456	362	476	353	296	473	387	502	498	597	588	713	454	1022	977	790
lpxA	U00096.3	202560	203348	+	789	53	81	45	56	53	46	67	58	78	108	128	56	160	179	80
lpxB	U00096.3	203348	204496	+	1149	43	43	21	32	33	28	55	30	38	86	66	34	99	84	50
rnhB	U00096.3	204493	205089	+	597	15	30	16	13	17	21	22	18	24	34	26	22	44	44	25
dnaE	U00096.3	205126	208608	+	3483	207	219	152	174	191	211	238	225	280	379	370	182	555	601	343
accA	U00096.3	208621	209580	+	960	65	65	62	52	64	53	78	96	82	87	112	66	121	144	81
ldcC	U00096.3	209679	211820	+	2142	39	34	29	54	76	24	38	44	45	28	65	38	70	55	42
yaeR	U00096.3	211877	212266	+	390	19	15	14	21	21	12	17	22	25	29	30	6	22	29	15
tilS	U00096.3	212331	213629	+	1299	19	14	15	32	33	21	27	37	40	46	61	33	53	57	38
rof	U00096.3	213678	213932	-	255	14	9	5	17	15	5	9	14	17	16	34	7	15	26	8
yaeP	U00096.3	213925	214125	-	201	24	14	5	17	11	11	13	15	24	25	27	8	21	27	9
yaeQ	U00096.3	214291	214836	+	546	26	20	10	22	25	13	23	28	26	26	30	11	36	39	23
arfB	U00096.3	214833	215255	+	423	25	25	13	29	16	29	31	30	27	36	46	22	47	47	21
nlpE	U00096.3	215269	215979	+	711	62	58	51	57	60	66	53	63	64	70	78	50	89	102	63
yaeF	U00096.3	216179	217003	-	825	8	16	4	30	14	13	22	12	24	23	19	13	32	29	16
proS	U00096.3	217057	218775	-	1719	159	158	116	115	164	160	170	194	200	217	256	161	287	317	163
trmO	U00096.3	218887	219594	-	708	7	4	9	17	6	9	11	9	9	11	9	7	11	10	9
rcsF	U00096.3	219591	219995	-	405	13	14	8	12	4	9	17	16	7	18	16	4	15	16	7
metQ	U00096.3	220113	220928	-	816	50	79	34	59	55	57	72	70	70	114	95	61	91	184	48
metI	U00096.3	220968	221621	-	654	20	29	14	21	21	17	21	16	25	40	32	17	40	48	22
metN	U00096.3	221614	222645	-	1032	7	14	7	24	4	2	1	12	10	18	11	6	21	29	10
gmhB	U00096.3	222833	223408	+	576	41	42	27	23	40	36	45	42	45	45	68	35	90	104	44
rrsH	U00096.3	223771	225312	+	1542	218747	188766	174172	205308	210223	173025	211715	209183	211825	179518	204659	203664	333290	297068	121858
ileV	U00096.3	225381	225457	+	77	29	36	41	39	33	45	26	32	60	34	14	25	66	81	42
alaV	U00096.3	225500	225575	+	76	17	19	27	21	22	21	10	15	32	26	12	16	33	46	14
rrlH	U00096.3	225759	228662	+	2904	336895	275103	228932	258781	282062	247925	264920	268223	258731	270525	277114	255626	450425	447952	145934
rrfH	U00096.3	228756	228875	+	120	258	260	215	133	274	252	156	215	227	194	178	147	443	375	208
aspU	U00096.3	228928	229004	+	77	10	15	13	25	11	20	24	15	23	27	24	17	48	46	26
dkgB	U00096.3	229167	229970	+	804	12	17	19	28	19	15	31	9	21	18	18	10	16	25	28
yafC	U00096.3	229967	230881	-	915	18	8	14	24	13	17	23	17	28	26	22	24	23	28	19
yafD	U00096.3	231122	231922	+	801	52	33	18	36	53	39	55	52	94	82	120	33	59	106	35
yafE	U00096.3	231926	232549	+	624	10	15	10	16	15	17	43	27	37	27	26	8	16	41	14
mltD	U00096.3	232597	233955	-	1359	201	223	133	158	189	179	203	176	296	407	351	146	313	627	194
gloB	U00096.3	234027	234782	-	756	20	16	22	37	18	23	24	25	23	16	26	11	37	38	17
yafS	U00096.3	234816	235538	+	723	12	12	13	26	14	10	17	11	20	15	16	12	14	22	17
rnhA	U00096.3	235535	236002	-	468	7	6	3	19	11	3	13	11	17	12	15	17	12	20	11
dnaQ	U00096.3	236067	236798	+	732	38	15	16	22	35	23	33	31	35	32	46	17	38	51	24
aspV	U00096.3	236931	237007	+	77	2	4	3	2	0	3	0	1	3	3	1	1	1	3	3
yafT	U00096.3	237335	238120	+	786	4	0	0	10	0	4	7	4	3	1	1	7	5	2	3
ykfM	U00096.3	238257	238736	-	480	1	3	1	4	0	2	5	1	4	0	0	8	0	0	3
yafV	U00096.3	239419	240189	-	771	28	14	18	25	24	17	34	33	39	17	33	21	44	39	21
ivy	U00096.3	240343	240816	+	474	89	40	49	86	90	62	102	127	108	66	169	76	94	78	62
fadE	U00096.3	240859	243303	-	2445	2080	1651	1070	973	2170	210	431	1152	578	1440	1991	407	217	2779	128
lpcA	U00096.3	243543	244121	+	579	23	47	39	39	32	20	33	27	30	58	48	26	41	86	36
yafJ	U00096.3	244327	245094	+	768	109	108	68	68	104	81	95	159	110	169	187	68	136	203	99
yafK	U00096.3	245065	245805	-	741	92	74	56	70	91	98	81	144	112	161	143	68	148	206	104
yafQ	U00096.3	245961	246239	-	279	130	109	111	209	179	91	141	153	165	142	122	122	133	199	97
dinJ	U00096.3	246242	246502	-	261	133	115	98	205	176	87	136	144	154	130	112	104	123	176	89
yafL	U00096.3	246712	247461	+	750	3	4	4	13	4	2	2	8	5	4	6	10	8	11	2
rayT	U00096.3	247637	248134	+	498	4	5	8	18	6	4	13	13	9	5	8	8	2	11	8
dinB	U00096.3	250898	251953	+	1056	13	6	5	27	16	8	12	14	18	14	13	11	18	21	15
yafN	U00096.3	252005	252298	+	294	3	1	5	10	4	2	2	4	6	2	4	6	2	4	2
yafO	U00096.3	252301	252699	+	399	2	1	7	7	2	3	5	5	6	3	7	3	3	5	3
yafP	U00096.3	252709	253161	+	453	1	1	0	7	2	1	0	3	2	3	0	1	1	0	0
pepD	U00096.3	254259	255716	-	1458	255	262	206	146	289	208	227	282	237	339	370	194	337	511	183
gpt	U00096.3	255977	256435	+	459	18	20	29	17	16	19	11	24	16	40	14	15	26	41	27
frsA	U00096.3	256527	257771	+	1245	25	27	19	28	27	18	23	37	48	36	30	21	45	49	33
insB9	U00096.3	257923	258426	-	504	17	11	4	7	34	6	7	11	9	33	56	11	35	51	19
insA9	U00096.3	258345	258620	-	276	26	16	6	13	31	5	6	11	12	30	78	16	37	75	22
phoE	U00096.3	259045	260100	-	1056	1	2	4	17	4	2	10	5	5	2	1	9	1	7	3
proB	U00096.3	260388	261491	+	1104	64	48	34	53	62	41	69	65	73	125	108	65	95	162	65
proA	U00096.3	261503	262756	+	1254	67	53	25	51	74	51	82	74	93	120	120	61	102	157	69
thrW	U00096.3	262871	262946	+	76	13	11	7	20	12	8	13	8	19	23	19	10	20	15	11
ykfI	U00096.3	263328	263669	-	342	5	4	2	11	6	2	6	4	14	5	8	8	17	12	6
yafW	U00096.3	263690	264007	-	318	4	6	1	16	5	1	4	5	12	6	12	7	14	18	9
ykfH	U00096.3	264026	264247	-	222	0	4	9	7	9	2	9	5	3	9	7	5	6	3	4
ykfG	U00096.3	264256	264732	-	477	3	7	6	13	10	6	13	11	3	9	12	11	11	11	9
yafX	U00096.3	264748	265206	-	459	21	23	10	34	28	11	42	23	44	34	48	23	50	49	21
ykfF	U00096.3	265304	265543	-	240	2	1	2	12	3	3	8	8	10	7	12	3	6	16	3
ykfB	U00096.3	265620	266087	-	468	11	13	10	25	20	6	21	17	13	23	18	14	25	31	11
yafY	U00096.3	266110	266553	-	444	3	5	3	19	7	3	12	10	12	7	6	5	16	14	11
yafZ	U00096.3	267184	268005	-	822	6	10	7	18	7	14	18	14	13	10	12	18	20	17	14
ykfA	U00096.3	268097	268960	-	864	18	18	9	16	15	13	20	26	15	30	25	16	22	31	15
perR	U00096.3	269289	270182	-	894	3	6	8	21	1	4	8	4	6	15	6	14	6	6	5
insI-1	U00096.3	270603	271754	+	1152	20	19	25	37	31	26	35	37	50	30	47	30	28	53	28
eyeA	U00096.3	272580	272654	+	75	1	3	0	4	6	2	0	5	8	2	8	3	8	6	1
ykfC	U00096.3	272847	273992	+	1146	5	9	6	20	12	9	9	17	14	17	11	18	20	20	12
insH-1	U00096.3	274101	275117	-	1017	144	134	72	103	128	96	173	276	207	265	377	119	419	643	259
mmuP	U00096.3	275325	276728	+	1404	5	4	6	18	10	8	18	11	10	16	5	4	8	27	8
mmuM	U00096.3	276715	277647	+	933	38	24	27	45	41	16	34	35	31	75	62	24	55	101	29
afuC	U00096.3	277756	278802	-	1047	9	4	3	20	2	10	4	14	4	16	18	6	18	17	3
insB-2	U00096.3	279178	279681	-	504	9	8	9	8	8	10	11	15	17	12	16	7	21	19	20
insA-2	U00096.3	279600	279875	-	276	3	5	7	4	10	5	6	7	10	15	13	9	11	16	13
yagB	U00096.3	280385	280735	-	351	4	3	5	5	2	2	11	8	10	5	8	4	7	13	5
yagA	U00096.3	280829	281983	-	1155	0	1	8	30	7	9	11	9	7	3	3	4	4	3	5
yagE	U00096.3	282278	283186	+	909	18	12	5	18	10	15	12	10	7	13	23	15	19	37	11
yagF	U00096.3	283201	285168	+	1968	33	22	12	47	25	24	34	31	22	41	45	25	25	70	14
yagG	U00096.3	285395	286777	+	1383	4	3	6	13	3	3	3	8	10	7	4	11	4	3	6
yagH	U00096.3	286789	288399	+	1611	1	13	6	23	10	4	6	10	11	8	10	11	5	8	11
